Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
43011,13,RNC_KOT,ABO_001U,U_ABO_001_1,40.267806,44.617,35,90,46,134,88,2100,313.3,Sector 1,6378000,0.702805797,0.778713552,1200,1.570796327,43011,40.26780514,44.62966188,0.802851456,2.338741198,40.27529398,44.62605138,40.26031713,44.62616544,8095
43012,13,RNC_KOT,ABO_001U,U_ABO_001_2,40.267806,44.617,35,240,196,284,88,2100,354.8,Sector 2,6378000,0.702805797,0.778713552,1200,4.188790205,43012,40.26241535,44.60598494,3.420845334,4.956735076,40.25744352,44.61347952,40.27041311,44.60474099,9412
43013,13,RNC_KOT,ABO_001U,U_ABO_001_3,40.267806,44.617,35,355,311,399,88,2100,652.1,Sector 3,6378000,0.702805797,0.778713552,1200,6.195918845,43013,40.27854499,44.6159063,5.427973974,6.963863715,40.27487784,44.60750026,40.2761833,44.6249128,24190
43016,13,RNC_KOT,ABO_001U,U_ABO_001_6,40.267806,44.617,35,355,311,399,88,2100,573.6,Sector 3,6378000,0.702805797,0.778713552,1200,6.195918845,43016,40.27854499,44.6159063,5.427973974,6.963863715,40.27487784,44.60750026,40.2761833,44.6249128,14593
43019,13,RNC_KOT,ABO_001U,U_ABO_001_9,40.267806,44.617,35,355,311,399,88,2100,522.8,Sector 3,6378000,0.702805797,0.778713552,1200,6.195918845,43019,40.27854499,44.6159063,5.427973974,6.963863715,40.27487784,44.60750026,40.2761833,44.6249128,16994
63017,13,RNC_KOT,ABO_001U,U_ABO_001_A,40.267806,44.617,35,90,57.5,122.5,65,900,755.7,Sector 1,6378000,0.702805797,0.778713552,1200,1.570796327,63017,40.26780514,44.62966188,1.00356432,2.138028334,40.27359749,44.62762736,40.26201329,44.62773079,8421
63018,13,RNC_KOT,ABO_001U,U_ABO_001_B,40.267806,44.617,35,240,207.5,272.5,65,900,491.9,Sector 2,6378000,0.702805797,0.778713552,1200,4.188790205,63018,40.26241535,44.60598494,3.621558198,4.756022212,40.25824383,44.61110643,40.26827536,44.60435514,4871
63019,13,RNC_KOT,ABO_001U,U_ABO_001_C,40.267806,44.617,35,355,322.5,387.5,65,900,"1,085.70",Sector 3,6378000,0.702805797,0.778713552,1200,6.195918845,63019,40.27854499,44.6159063,5.628686838,6.763150851,40.27635804,44.60934682,40.27736781,44.62280009,22035
43021,13,RNC_KOT,ABO_002U,U_ABO_002_1,40.278417,44.639472,40,40,-4,84,88,2100,179.1,Sector 1,6378000,0.702990994,0.779105763,1200,0.698131701,43021,40.28667462,44.64748338,-0.06981317,1.466076572,40.28917075,44.6386044,40.27954297,44.65194115,6394
43022,13,RNC_KOT,ABO_002U,U_ABO_002_2,40.278417,44.639472,40,230,186,274,88,2100,510.1,Sector 2,6378000,0.702990994,0.779105763,1200,4.01425728,43022,40.27148724,44.62980263,3.246312409,4.78220215,40.26769603,44.6381484,40.27916812,44.6269608,20932
43023,13,RNC_KOT,ABO_002U,U_ABO_002_3,40.278417,44.639472,40,315,271,359,88,2100,146.1,Sector 3,6378000,0.702990994,0.779105763,1200,5.497787144,43023,40.28603919,44.63065431,4.729842273,6.265732015,40.27860428,44.62692625,40.28919537,44.63925494,6387
43024,13,RNC_KOT,ABO_002U,U_ABO_002_4,40.278417,44.639472,40,40,-4,84,88,2100,145.5,Sector 1,6378000,0.702990994,0.779105763,1200,0.698131701,43024,40.28667462,44.64748338,-0.06981317,1.466076572,40.28917075,44.6386044,40.27954297,44.65194115,6257
